artist_name,track_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Slipknot,Goodbye,0.0007,0.319,0.873,0.1,0.0724,-4.219,0.053,136.378,0.0747
Night Lovell,WATCH ME,0.431,0.879,0.591,0.118,0.123,-6.194,0.149,134.99,0.0748
Moby,Memory Gospel (B-Sides),0.5,0.252,0.364,0.974,0.621,-11.373,0.0277,96.579,0.0749
The Prodigy,Warrior's Dance,0.0128,0.579,0.989,0.794,0.73,-5.035,0.135,137.015,0.0759
Just A Gent,Future Bass Is Dead,0.0386,0.583,0.809,0.282,0.109,-5.384,0.0986,139.878,0.0762
Moby,Summer,0.0163,0.524,0.782,0.755,0.0754,-7.967,0.0364,94.973,0.0763
Four Tet,Pyramid,0.0012,0.778,0.588,0.894,0.0736,-12.103,0.0552,128.001,0.0773
Jon Hopkins,Form By Firelight,0.107,0.674,0.473,0.9,0.106,-11.418,0.0806,140.083,0.0774
Nirvana,Something In The Way,0.742,0.444,0.2,0.42,0.11,-12.852,0.0304,105.566,0.0777
Nirvana,Something In The Way,0.742,0.444,0.2,0.42,0.11,-12.852,0.0304,105.566,0.0777
Roy Woods,How I Feel,0.296,0.8,0.466,0.0031,0.113,-8.912,0.0717,112.045,0.0778
Nine Inch Nails,March Of The Pigs,0.0321,0.507,0.857,0.0759,0.103,-7.409,0.0452,134.423,0.0781
Scorpions,Still Loving You,0.0047,0.282,0.605,0.0014,0.103,-4.916,0.0294,103.929,0.0783
Moby,A Case For Shame - feat. Cold Specks,0.736,0.426,0.418,0.0257,0.0608,-11.657,0.0357,143.719,0.0785
Deftones,Minerva,0.0002,0.349,0.934,0.623,0.281,-5.518,0.0644,124.055,0.0788
Lil Texas,Anthem X,0.0218,0.629,0.986,0.13,0.425,0.423,0.151,100.012,0.0789
Cassius,Feel Like Me,0.317,0.359,0.6,0,0.196,-5.055,0.0314,126.94,0.079
Getter,Solo,0.0445,0.491,0.879,0.0009,0.324,-4.018,0.0629,139.996,0.079
Arctic Monkeys,Only Ones Who Know,0.899,0.257,0.409,0.0029,0.109,-10.828,0.0363,145.759,0.0794
The Prodigy,Intro,0.0038,0.288,0.291,0.244,0.797,-15.444,0.0353,163.611,0.0795
The Crystal Method,Cabin Pressure,0.0226,0.64,0.916,0.86,0.136,-8.75,0.0447,130.011,0.0796
Yeah Yeah Yeahs,Y Control,0.005,0.433,0.965,0.0027,0.315,-4.203,0.147,131.963,0.0796
Yeah Yeah Yeahs,Y Control,0.005,0.433,0.965,0.0027,0.315,-4.203,0.147,131.963,0.0796
Gramatik,Room 3327,0.0148,0.451,0.66,0.922,0.13,-5.463,0.0382,164.053,0.0797
Vladimir Cosma,Promenade sentimentale,0.984,0.395,0.0346,0.792,0.114,-24.798,0.0399,110.3,0.0807
Tchami,"Adieu, Pt. II",0.114,0.773,0.631,0.858,0.133,-6.771,0.0395,115.992,0.0808
Rob Dougan,Clubbed To Death 2,0.0013,0.569,0.519,0.488,0.187,-7.108,0.0491,97.44,0.081
